chromosomes,Bos_taurus_2,Capra_hircus_2,Ceratotherium_simum_9,Equus_caballus_18,Giraffa_tippelskirchi_3,Gorilla_gorilla_3,Mus_musculus_2,Panthera_tigris_C1,Sus_scrofa_15,Tursiops_truncatus_7
uce-1396_p1,0,0,0,0,0,0,0,1,0,0
uce-1397_p1,0,0,0,0,0,0,0,0,0,0
uce-14_p2,0,0,0,0,0,0,0,0,0,0
uce-1402_p2,0,0,0,0,0,0,0,0,0,0
uce-1403_p1,0,0,0,0,0,0,0,0,0,0
uce-1405_p2,0,0,0,0,0,0,0,0,0,0
uce-1408_p1,0,0,0,0,0,0,0,0,0,0
uce-1408_p2,0,0,0,0,0,0,0,0,0,0
uce-1408_p3,0,0,0,0,0,0,0,0,0,0
uce-1408_p4,0,0,0,0,0,0,0,0,0,0
uce-1410_p1,0,0,0,0,0,0,0,0,0,0
uce-1412_p1,0,0,0,0,0,0,0,0,0,0
uce-1412_p2,0,0,0,0,0,0,0,0,0,0
uce-1412_p3,0,0,0,0,0,0,0,0,0,0
uce-1412_p4,0,0,0,0,0,0,0,0,0,0
uce-1412_p5,0,0,0,0,0,0,0,0,0,0
uce-1413_p3,0,0,0,0,0,0,0,0,0,0
uce-1415_p1,0,0,0,0,0,0,1,0,0,0
uce-1417_p1,0,0,0,0,0,0,0,0,0,0
uce-1419_p2,0,0,0,0,0,0,0,0,0,0
uce-142_p1,0,0,0,0,0,0,0,0,0,0
uce-1420_p1,0,0,0,0,0,0,0,0,0,0
uce-1422_p1,0,0,0,0,0,0,0,0,0,0
uce-1422_p2,0,0,0,0,0,0,0,0,0,0
uce-1422_p3,0,0,0,0,0,0,0,0,0,0
uce-1423_p1,0,0,0,0,0,0,0,0,0,0
uce-1423_p2,0,0,0,0,0,0,0,0,0,0
uce-1423_p3,0,0,0,0,0,0,0,0,0,0
uce-1423_p4,0,0,0,0,0,0,0,0,0,0
uce-1424_p2,0,0,0,0,0,0,0,0,0,0
uce-1425_p1,0,0,0,0,0,0,0,0,0,0
uce-1425_p2,0,0,0,0,0,0,0,0,0,0
uce-1425_p3,0,0,0,0,0,0,0,0,0,0
uce-1425_p4,0,0,0,0,0,0,0,0,0,0
uce-1427_p1,0,0,0,0,0,0,0,0,0,0
uce-1427_p2,0,0,0,0,0,0,0,0,0,0
